term,label,definition
http://purl.obolibrary.org/obo/WBPhenotype_0001164,excess pronucleus early emb,There is either more than one maternal or paternal pronucleus in the inviable embryo.
http://purl.obolibrary.org/obo/WBPhenotype_0000070,male tail morphology variant,"Animals exhibit variations in the structure or organization of the somatic reproductive components of the posterior segment of the male from that observed in control males. In C. elegans, this region of the male includes the terminal canals of the reproductive tract, the digestive tract, and spicule channels along with the male specific sensilla (ray, post-cloacal, hook and spicule) and extends to the tip of the acellular fan."
http://purl.obolibrary.org/obo/WBPhenotype_0002068,astral microtubule asymmetry defective,"There is significantly less difference between the number of astral microtubles or other component(s) of the spindle microtuble organizing center at the anterior versus posterior poles of the spindle, than observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002480,heme levels variant,Animals exhibit variations in the amount of heme compared to control animals. Heme is any compound of iron complexed in a porphyrin (tetrapyrrole) ring.
http://purl.obolibrary.org/obo/WBPhenotype_0002290,tail bend angle decreased,Animals exhibit a decrease in the extent of the maximum flex of the most posterior portion of the animal compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000603,muscle system morphology variant,"Any variations in the form, structure or composition of a set of interacting or interdependent entities forming the muscle system, compared to control. The muscle system consists of tissues made up of various elongated cells that are specialized to contract and produce movement and mechanical work."
http://purl.obolibrary.org/obo/WBPhenotype_0001507,Bacillus thuringiensis toxin resistant,Animals fail to be affected by toxins produced by Bacillus thuringiensis (Bt toxins) in the same manner as control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000413,pharyngeal muscle paralyzed,Pharyngeal muscle is immobilized resulting in lack of pumping or lack of response to external stimulation.
http://purl.obolibrary.org/obo/WBPhenotype_0001317,evoked postsynaptic amplitude reduced,"The amplitudes of synaptic currents that are elicited by firing an action potential in a population of axons are decreased, compared to those observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000223,acetylcholine metabolism variant,"Animals exhibit variations in any chemical reaction or pathway involving acetylcholine, compared to control. Acetylcholine is the acetic acid ester of the organic base choline."
http://purl.obolibrary.org/obo/WBPhenotype_0001127,EMS anterior extension fails early emb,The EMS blastomere fails to extend anteriorly and make extensive contact (hug) with the ABa blastomere.
http://purl.obolibrary.org/obo/WBPhenotype_0000033,developmental timing variant,The timing of specific developmental events in some tissues is altered relative to the timing of events in other tissues.
http://purl.obolibrary.org/obo/WBPhenotype_0000965,somatic cell death variant,Animals exhibit variations in the programmed cell death pathway that is triggered in cells other than germ cells and that is not subject to upstream checkpoint regulation.
http://purl.obolibrary.org/obo/WBPhenotype_0001869,meiotic spindle positioning defective,Cells undergoing meiosis exhibit defects in the positioning of the meiotic spindle.
http://purl.obolibrary.org/obo/WBPhenotype_0000775,meiosis variant,"Variations in the specialized nuclear and cytoplasmic divisions of a single diploid cell, whose specific outcome is the formation of four haploid daughter cells compared to control. Meiosis occurs during the formation of gametes."
http://purl.obolibrary.org/obo/WBPhenotype_0001679,multipolar neuron,Neurons have more than one process extending from the cell body.
http://purl.obolibrary.org/obo/WBPhenotype_0000585,cell homeostasis metabolism variant,Variations in the chemical reactions and pathways involved in the maintenance of a steady-state at the level of the cell compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0001489,gubernaculum morphology variant,"Animals exhibit variations in the structure or composition of the sclerotic cuticle that forms the roof of the proctodeum, from that observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000395,no differentiated gametes,Animals are agametic (lack mature germ cells).
http://purl.obolibrary.org/obo/WBPhenotype_0001299,cell division variant male,Any variation that alters the physical partitioning and separation of a cell into daughter cells in male animals compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0002443,spicule protraction variant,Any variation in the specific actions or reactions of the male that are associated with the protraction of the male copulatory spicules compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0002253,22G RNA expression reduced,"Animals exhibit lowered levels of any or all of the clades of 22G RNA molecules, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0002063,maintenance of gene silencing variant,Animals differ from controls in the expression of genes targeted for silencing (gene inactivation) in subsequent generations via transcriptional or post-transcriptional processes.
http://purl.obolibrary.org/obo/WBPhenotype_0000928,male physiology variant,Animals exhibit variations in any physical or chemical process required to carry out male-specific activities or to be able to perceive and respond to male-specific stimuli compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000738,organism environmental stimulus response variant,The response to a change in the environment is altered compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000548,muscle dystrophy,Progressive degeneration of muscle.
http://purl.obolibrary.org/obo/WBPhenotype_0000358,extra cell division postembryonic,Animals execute supernumerary cell divisions post-hatching.
http://purl.obolibrary.org/obo/WBPhenotype_0001502,chemical resistant,"Animals fail to respond to the concentration of a specific chemical that elicits a response in control animals. Alternatively, animals require increased concentration or longer exposure to this compound to elicit the response compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002406,aberrant posteriorly-directed neurite,Any neurite that is extended towards the posterior of the animal from neurons that in wild-type animals make only anterior projections (e.g. D-type neurons in C. elegans).
http://purl.obolibrary.org/obo/WBPhenotype_0000168,alae secretion variant,"Variations in the regulated release of proteins needed for alae formation by epidermal seam cells compared to control. Alae are small linear ridges running along the lateral lines of the cuticle, lengthwise along the body (WormAtlas)."
http://purl.obolibrary.org/obo/WBPhenotype_0001312,neuron number variant,"The quantity of neuronal cells, as a whole or of a specific class of neuron in the animal deviates from that observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002216,pattern antibody staining variant,"Any variation in the cellular or subcellular distribution of a gene product, as detected by antibody staining, compared to that observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0001122,reversed asynchrony early emb,P1 divides before AB.
http://purl.obolibrary.org/obo/WBPhenotype_0002026,differential touch sensitivity variant,"Animals differ from control animals in response to mechanical stimulation targeting different parts of the same cell. In N2 wild-type animals, response to touch near the ALM cell body is reduced compared with touch of the cell area near the second pharyngeal bulb."
http://purl.obolibrary.org/obo/WBPhenotype_0000960,ventral ganglion development variant,"Any variation in the progression of the ganglion which lies ventrally beside the nerve ring in the head, just anterior of the retrovesicular ganglion over time from its initial formation to its mature form compared to control (Wormatlas)."
http://purl.obolibrary.org/obo/WBPhenotype_0001864,protein transport variant,"Any variation in the processes that modulate the frequency, rate or extent of the directed movement of a protein into, out of, within or between cells by means of some external agent such as a transporter or pore compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0000770,embryonic cell morphology variant,Animals exhibit variations in the appearance of embryonic cells compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0001674,telomere morphology variant,"Animals exhibit variations in the sequence or organization of the components of the terminal region of its chromosome, (i.e. telomere, which serves to stabilize the chromosome) compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0000580,organism segment behavior variant,Variations in the specific actions or reactions of a certain body region of an animal in response to external or internal stimuli compared to that observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001484,ammonium acetate chemotaxis defective,"Animals fail to execute directed movement in response to ammonium acetate. In C. elegans, ammonium acetate is an attractant."
http://purl.obolibrary.org/obo/WBPhenotype_0002388,metaphase variant,"Any variation in the second stage of cell division, between prophase and anaphase, during which the chromosomes become attached to the spindle fibers."
http://purl.obolibrary.org/obo/WBPhenotype_0000390,spermatid activation defective,"Spermatids fail to mature into active sperm. In C. elegans round sessile spermatids mature into spermatozoa (polarized cells with a motile pseudopod), upon copulation or treatment with proteases."
http://purl.obolibrary.org/obo/WBPhenotype_0001294,head bent,The most anterior portion of the animal is not aligned with the axis of the body.
http://purl.obolibrary.org/obo/WBPhenotype_0002198,neuromuscular junction organization variant,The proper localization and assembly of components at the junction of a neuron with a muscle cell varies from that observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000923,nonstriated muscle morphology variant,Any variation in the morphological appearance of the nonstriated muscle compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001827,RNA metabolism variant,"Variations in any process that involves the maintenance, biosynthesis or accumulation of RNA in the organism compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0000733,catalysis variant,"Any variation in the catalysis of a biochemical reaction compared to control. Catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein (can include an RNA component)."
http://purl.obolibrary.org/obo/WBPhenotype_0001637,no Intestine,"Embryos fail to generate cells that exhibit intestinal specification. In C. elegans, the E blastomere is the precursor of all the intestinal cells."
http://purl.obolibrary.org/obo/WBPhenotype_0000543,forward kinker,"Forward movement is often characterized by severe bending motions, more sharply angled and/or much deeper than stereotypical sinusoidal body bends of the control. Animal moves forward with uncharacteristic muscle spasms causing loss of smooth sinusoidal motion or body posture (Wormatlas)."
http://purl.obolibrary.org/obo/WBPhenotype_0001447,ammonium chloride adaptation defective,Animals do not exhibit characteristic chemoattractive desensitization to ammonium chloride in a time-concentration dependent and reversible manner compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000353,backing increased,Animals spend more time backing compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001257,cross link induced focus formation variant,"Variations in the generation of foci that mark sites of aberrant bonding of molecules to the DNA strand, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0002401,excess fatty acids,The concentration of fatty acids in the animal are greater than that observed for control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000163,clear larva,Larva appear unusually transparent when compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0001067,active phase variant,"The active phase of egg-laying, the period during which animals are more likely to display multiple egg-laying events, is atypical compared with control animals, based on the analysis of the distribution of the log intervals of egg-laying events."
http://purl.obolibrary.org/obo/WBPhenotype_0002211,phasmid dye filling defect,"Animals exhibit defects in dye-filling of the neuronal cells of the phasmid sensilla. In C. elegans, these neurons are commonly assayed by dye-filling with FITC, DiI or DiO."
http://purl.obolibrary.org/obo/WBPhenotype_0002021,synaptic spike frequency variant,"Animals exhibit variations in the autonomously initiated periodic trains of calcium transients observed at the synapse, which are independent of presynaptic inputs."
http://purl.obolibrary.org/obo/WBPhenotype_0001999,conflicting sensory integration variant,Animals behave differently from control animals in assays testing for the ability to resolve or respond to conflicting sensory inputs.
http://purl.obolibrary.org/obo/WBPhenotype_0002383,light touch habituation variant,"Any variation in the decreased behavioral response to repeated light head or tail touch compared to control. A gentle touch to the animal's head causes backward movement, whereas a gentle touch to the animal's tail causes forward movement. When wild-type animals are touched repeatedly on the head or tail, after some repetition they stop responding to the touch stimulus."
http://purl.obolibrary.org/obo/WBPhenotype_0002193,posterior reversed vulval lineage,"The orientation of the progeny of P7.p mimic those of P5.p and face towards the posterior of the worm, a phenotype referred to as posterior-reversed vulval lineage (P-Rvl)."
http://purl.obolibrary.org/obo/WBPhenotype_0000506,bursa swollen,"The adult male tail, including the lateral fan and rays, appears bloated or distended."
http://purl.obolibrary.org/obo/WBPhenotype_0000316,touch resistant tail,"Failure to execute a characteristic response when struck or stroked in the posterior region. In C. elegans, animals move forward movement when struck or stroked in the posterior region, usually with a hair or similar fiber. The posterior region lies between the vulva and the tail."
http://purl.obolibrary.org/obo/WBPhenotype_0000126,general pace of development defective early emb,Variations in the time from pronuclei meeting to furrow initiation during the first cell division compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000868,paralyzed body,All parts of the animal are immobilized except for the head.
http://purl.obolibrary.org/obo/WBPhenotype_0000678,obsolete no copper sensitivity,OBSOLETE.
http://purl.obolibrary.org/obo/WBPhenotype_0001822,dauer pheromone secretion variant,Animals produce pheromone but it does not undergo controlled release into the environment.
http://purl.obolibrary.org/obo/WBPhenotype_0000488,chloroquinone hypersensitive,Animals respond to chloroquinone at a lower concentration or a shorter exposure compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001632,diplo X gamete,Animals produce ova/sperm that contain 2 X chromosomes.
http://purl.obolibrary.org/obo/WBPhenotype_0000298,rays displaced,Any of the finger-like sensory sensilla that project from the tail and embed in the male fan are shifted from their customary place.
http://purl.obolibrary.org/obo/WBPhenotype_0001442,sodium acetate chemotaxis defective,"Failure in directed movement in response to sodium acetate. In C. elegans, sodium acetate is an attractant. Sodium acetate has also subsequently been used to assay for Na+ attraction in C. elegans."
http://purl.obolibrary.org/obo/WBPhenotype_0000247,sodium chemotaxis defective,"Failure to execute the characteristic response to sodium as defined by control animals. In C. elegans, sodium is typically an attractant."
http://purl.obolibrary.org/obo/WBPhenotype_0002346,forward locomotion increased,"Animals spend more time in forward locomotion, compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0001252,wing cilia axoneme morphology variant,"Animals exhibit variations in the structure or organization of the microtubule-based fibrillar section, axoneme, of the cilia of the flat sheet-like cells associated with sensory function, from that observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002156,temperature learning variant,Wild-type animals will exhibit an altered temperature preference based on food/temperature conditioning. Temperature learning variants do not exhibit altered responses to temperature after conditioning compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001062,late paralysis arrested elongation two fold,"In C. elegans, movement and elongation stop nearly simultaneously soon after the twofold stage of elongation. However, mutant embryos twitch at the one-and-a-half-fold stage of elongation, like control animals, and move as well as control animals at the two- fold stage."
http://purl.obolibrary.org/obo/WBPhenotype_0004014,post male contact variant,Any variation in the specific actions or reactions of a hermaphrodite after male contact during mating compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0001994,left right handedness variant,Any variation in the establishment of left-right asymmetry of the body axis compared to controls.
http://purl.obolibrary.org/obo/WBPhenotype_0000501,left handed roller,"The body of the animal rotates around its long axis as the animal moves, causing the animal to move in a circular pattern in the left-handed direction. In liquid media, wave propogation is helical rather than planar."
http://purl.obolibrary.org/obo/WBPhenotype_0001405,protein aggregation variant,"Variations that result in the accumulation of soluble/insoluble protein aggregates in a particular cell or tissue, compared to control. Protein aggregates are often formed by interactions between misfolded protein molecules and/or deficiencies in proper protein folding."
http://purl.obolibrary.org/obo/WBPhenotype_0002309,Pausing decreased,"Animals exhibit a decrease in the amount of time spent in a paused state, which is neither moving forward or backward, compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000311,obsolete semi sterile,OBSOLETE.
http://purl.obolibrary.org/obo/WBPhenotype_0001215,germ cell mitosis variant,Variations in the mitotic expansion of germ cell populations or in the appearance of nuclei during development in the premeiotic region of the germline compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0002119,alternative splicing defective,The process of generating multiple mRNA molecules from differential use of exons in a primary transcript(s) does not occur or occurs with outcomes not observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000121,translation variant,"Variations in the chemical reactions and pathways resulting in the formation of a protein, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0001025,hermaphrodite morphology variant,"Animals exhibit variations in the outcome of morphogenic processes required for formation or proper placement of sex-specific structures that distinguish the animal as a hermaphrodite in the population, from that observed for control hermaphrodites."
http://purl.obolibrary.org/obo/WBPhenotype_0001957,gonad small,A decrease in size of the specialized tissue of the reproductive tract that produces the male or female gametes compared to control (Wormatlas).
http://purl.obolibrary.org/obo/WBPhenotype_0000863,male fertility reduced,Males exhibit a reduction in the production of new individuals owing to defects in sperm competence and/or function compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001767,commissure handedness defective,Outgrowth of the commissure occurs on the side of the body different from that observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000673,brood size variant,The number of offspring produced is altered compared to that of control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001577,mitochondria alignment variant,Animals exhibit variations in the parallel arrangement of mitochondria within a cell compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000483,no gut granules,"Animals lack the different inclusions within the intestinal cytoplasm, including birefringent crystalline objects and other dark-staining endosomes. In C. elegans these contents typically include glycogen granules (polysaccharide storage), rhabditin (carbohydrate storage), yolk granules (lipid and protein), and concentrated waste products (Wormatlas)."
http://purl.obolibrary.org/obo/WBPhenotype_0001387,fertilization defect male,Failure of male-derived sperm to fuse with an oocyte during sexual reproduction.
http://purl.obolibrary.org/obo/WBPhenotype_0000293,alimentary system pigmentation variant,Animals exhibit variations in the accumulation or expression of biochromes or any other substances that alter transparency/translucency of the alimentary system.
http://purl.obolibrary.org/obo/WBPhenotype_0001197,somatic gonad physiology variant,"Animals exhibit variations in any physical or chemical process required for cells as a collective unit of the somatic gonad to carry out their normal functions or activities or be able to perceive and respond to stimuli, compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002341,bent posture variant,Animals exhibit variations in instantaneous posture with regards to eccentricity (measure of circularity) or the mean number (and/or standard deviation) of instantaneous body bends.
http://purl.obolibrary.org/obo/WBPhenotype_0002151,mRNA deadenylation variant,Animals exhibit variations in the extent to which polyadenylated mRNA transcripts become deadenylated
http://purl.obolibrary.org/obo/WBPhenotype_0000826,H lineages variant,The descendants of H1 or H2 cells exhibit altered developmental programs compared to their counterparts in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000636,neuron degeneration variant,"Any variation in the ability of neurons to undergo a dramatic decrease in cell volume, collapse of the vacuoles and processes, and complete disintegration of the plasma membrane and most organelles under conditions that ellicit this response in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000446,supernumerary molt,Animals execute extra larval molts compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000256,amphid morphology variant,"Animals exhibit variations in the quantity, structure or organization of the components of the neuronal cells of the amphid sensillum, from that observed in control animals. In C. elegans, these neurons are commonly assayed by dye-filling experiments using FITC, DiI or DiO."
http://purl.obolibrary.org/obo/WBPhenotype_0001400,level of protein expression variant,Animals exhibit variations in the measured expression of a protein compared to that observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0002304,head movement decreased,Animals exhibit a decrease in the movement of the most anterior portion of the body to a new location compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000066,XX lethal,"XX-bearing individuals die preferentially over other animals in the population. In C.elegans, XX animals die preferentially over X0 animals."
http://purl.obolibrary.org/obo/WBPhenotype_0001210,pericellular component physiology variant,"Animals exhibit variations in any physical or chemical process taking place in extracellular spaces within or associated with the organism, from that observed for control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002114,swimming induced paralysis,"Animals become paralyzed after a measured amount of time swimming. In C. elegans, more then 80 percent of wild-type animals continue swimming vigorously in liquid even after 30 minutes."
http://purl.obolibrary.org/obo/WBPhenotype_0001020,embryonic lethal late emb,"Animals die during the final stages of embryogenesis. In C. elegans, this lethality refers to death during the last (3-fold) stage of embryogenesis, which normally occurs 620-800 min after the first cleavage at 20C, the stage after elongation."
http://purl.obolibrary.org/obo/WBPhenotype_0000998,thermophilic,Animals tend to track and stay within high temperature environments.
http://purl.obolibrary.org/obo/WBPhenotype_0001952,germline nuclear positioning variant,Variations in the directed movement/or positioning of a nucleus to a specific location within the germline compartment compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0001762,uptake of yolk defective,Yolk is not taken up by oocytes in the same manner or to the same degree as observed for control animals. This often leads to an accumulation of yolk in the pseudocoelom.
http://purl.obolibrary.org/obo/WBPhenotype_0001572,masculinized,"Animals that are not ordinarily male, exhibit male-specific attributes. In C. elegans, XX animals exhibit male-specific attributes."
http://purl.obolibrary.org/obo/WBPhenotype_0002476,pharynx length increased,Animals have an increase in the distance between most anterior and the most posterior ends of the pharynx from that observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001382,protein modification variant,"Variations in the covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications), compared to control. This includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
http://purl.obolibrary.org/obo/WBPhenotype_0002286,head bend angle increased,Animals exhibit an increase in the extent of the maximum flex of the most anterior portion of the animal compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001192,calcium signaling pharynx variant,"Any variation in the series of molecular signals in which a pharyngeal cell uses calcium ions to convert an extracellular signal into a response, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0002096,golgi apparatus morphology variant,"Any variation in the form or composition of membrane bound organelles, known as the Golgi apparatus, that traffic material from the endoplasmic reticulum or various endosomes, and process proteins for secretion, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0000409,organism morphology variable,"Animals exhibit variations in the form, structure or composition of any of its parts at different stages of the lifecycle, compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000219,vulval cell induction reduced,Vulval precursor cells receive a decrease in inductive signal leading to fewer VPCs adopting vulval fates compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000029,systemic RNAi variant,Animals are defective for RNAi introduced by environmental means such as in the cases of RNAi triggered by soaking or feeding.
http://purl.obolibrary.org/obo/WBPhenotype_0001915,mRNA expression ectopic,"Any variation that results in the cellular expression of an mRNA in cells/tissues, that is otherwise not observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000821,sexually dimorphic behavior variant,Animals exhibit variations in sex-specific behaviors compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0001725,osmotic stress response variant,"Animals exhibit variations in the response to osmotic stress compared to control. In C. elegans, exposure to stress-inducing osmotic conditions invokes cellular changes, including transcriptional up or down-regulation of genes."
http://purl.obolibrary.org/obo/WBPhenotype_0000631,drug response variant,Any variation in the characteristic response(s) to drug(s) as defined by control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001535,deirid sensillum morphology variant,"Animals exhibit variations in the quantity, structure or organization of the components of the sensilla situated laterally in the anterior (ADE) or the posterior (PDE) of the animal compared to control. In C. elegans, each of the 4 deirid sensilla (2ADE, 2 PDE) contains a pair of neurons with ciliated dendritic processes that lie in a channel formed by a socket cell and invaginated sheath cell. The cilia of the deirids terminate in the subcuticle and are not exposed to the outside; however occasionally take up FITC."
http://purl.obolibrary.org/obo/WBPhenotype_0002439,repetitive transgene expression increased,Animals exhibit increased expression of repetitive exogenous DNA compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0000441,tail rounded,Tails change shape and undergo retraction thereby forming a 'peloderan' or 'rounded' adult tail.
http://purl.obolibrary.org/obo/WBPhenotype_0001345,cytoskeleton organization biogenesis variant,"Animals exhibit variations in the form, structure, composition or arrangement of any of the various filamentous elements that form the internal framework of cells, compared to control. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
http://purl.obolibrary.org/obo/WBPhenotype_0002249,reduced protein oxidation levels,"Protein oxidation levels, as measured by carbonylated protein levels for example, are reduced compared to controls."
http://purl.obolibrary.org/obo/WBPhenotype_0000251,octopamine deficient,Animals do not contain or are unable to maintain a perceivable level of octopamine capable of initiating or maintaining dopamine-dependent cell activity.
http://purl.obolibrary.org/obo/WBPhenotype_0001155,pronuclei meet centrally early emb,The maternal and paternal pronuclei meet more centrally instead of meeting in the posterior end of the embryo.
http://purl.obolibrary.org/obo/WBPhenotype_0000061,extended life span,The duration of viability in the adult phase of the life-cycle surpasses that of control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0002059,pore forming toxin hypersensitive,Animals respond to pore forming toxins at a lower concentration or a shorter exposure compared to control animals. Increased susceptibility to pore forming toxins (e.g. Cry5B from Bacillus thuringiensis) is often measured by a decrease in the rate of survival in the presence of pore forming toxins compared to controls.
http://purl.obolibrary.org/obo/WBPhenotype_0000993,anal depressor contraction defect,Animals fail to contract the anal depressor muscle.
http://purl.obolibrary.org/obo/WBPhenotype_0001897,light response variant,"Variations in the state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus (electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light) compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0002471,cilia length increased,"Animals exhibit an increase in the length of the microtubule-based dendritic projections extending from the cell body, compared to that observed in control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002281,organism osmostic stress hypersensitive,Animals exhibit hypersensitivty to osmotic stress compared to that observed in control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0002091,late endosome morphology variant,"Any variation in the form or composition of membrane bound organelles, known as late endosomes,  that traffic material from early endosomes to internal compartments of the cell, such as lysosomes or the Golgi apparatus, compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0000404,delayed hatching,The emergence of larvae from their protective egg shells is retarded compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001308,weak pumping,The contraction and relaxation movements of the pharyngeal muscle that mediate feeding is not as robust as compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0000214,alpha amanitin hypersensitive,Animals respond to alpha amanitin at a lower concentration or a shorter exposure compared to control animals.
http://purl.obolibrary.org/obo/WBPhenotype_0001118,cell position defective early emb,Cell position is abnormal in the early embryo.
http://purl.obolibrary.org/obo/WBPhenotype_0000024,serotonin resistant,"Animals fail to respond to the concentration of serotonin that elicits a response in control animals. Alternatively, animals require increased concentration or longer exposure to this compound to elicit the response compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0000956,lumbar ganglia development variant,"Any variation in the progression of the left and right lumbar ganglia which lie behind the pre-anal ganglion in the tail, in lateral positions over time from its initial formation to its mature form compared to control (Wormatlas)."
http://purl.obolibrary.org/obo/WBPhenotype_0000766,centrosome pair and associated pronuclear rotation variant,"Any variation in the rotation of the centrosome-pronuclear complex after its migration toward the center of the embryo, compared to control."
