?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_24836>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic oxide"	
<http://purl.obolibrary.org/obo/CHEBI_32451>	<http://www.w3.org/2000/01/rdf-schema#label>	"D-cysteinium"	
<http://purl.obolibrary.org/obo/CHEBI_36380>	<http://www.w3.org/2000/01/rdf-schema#label>	"emetan"	
<http://purl.obolibrary.org/obo/CHEBI_31206>	<http://www.w3.org/2000/01/rdf-schema#label>	"ammonium chloride"	
<http://purl.obolibrary.org/obo/CHEBI_35845>	<http://www.w3.org/2000/01/rdf-schema#label>	"gout suppressant"	
<http://purl.obolibrary.org/obo/CHEBI_46883>	<http://www.w3.org/2000/01/rdf-schema#label>	"carboxy group"	
<http://purl.obolibrary.org/obo/CHEBI_39144>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lewis base"	
<http://purl.obolibrary.org/obo/CHEBI_36896>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic bromine"	
<http://purl.obolibrary.org/obo/CHEBI_26432>	<http://www.w3.org/2000/01/rdf-schema#label>	"pyrimidine nucleobase"	
<http://purl.obolibrary.org/obo/CHEBI_132717>	<http://www.w3.org/2000/01/rdf-schema#label>	"bleaching agent"	
<http://purl.obolibrary.org/obo/CHEBI_15705>	<http://www.w3.org/2000/01/rdf-schema#label>	"L-alpha-amino acid"	
<http://purl.obolibrary.org/obo/CHEBI_33791>	<http://www.w3.org/2000/01/rdf-schema#label>	"canonical nucleoside residue"	
<http://purl.obolibrary.org/obo/CHEBI_50317>	<http://www.w3.org/2000/01/rdf-schema#label>	"iodonium"	
<http://purl.obolibrary.org/obo/CHEBI_79314>	<http://www.w3.org/2000/01/rdf-schema#label>	"flame retardant"	
<http://purl.obolibrary.org/obo/CHEBI_58954>	<http://www.w3.org/2000/01/rdf-schema#label>	"straight-chain saturated fatty acid anion"	
<http://purl.obolibrary.org/obo/CHEBI_36359>	<http://www.w3.org/2000/01/rdf-schema#label>	"phosphorus oxoacid derivative"	
<http://purl.obolibrary.org/obo/CHEBI_24922>	<http://www.w3.org/2000/01/rdf-schema#label>	"isoquinolines"	
<http://purl.obolibrary.org/obo/CHEBI_38068>	<http://www.w3.org/2000/01/rdf-schema#label>	"antimalarial"	
<http://purl.obolibrary.org/obo/CHEBI_30488>	<http://www.w3.org/2000/01/rdf-schema#label>	"sulfonium"	
<http://purl.obolibrary.org/obo/CHEBI_26547>	<http://www.w3.org/2000/01/rdf-schema#label>	"rhamnoside"	
<http://purl.obolibrary.org/obo/CHEBI_64256>	<http://www.w3.org/2000/01/rdf-schema#label>	"tunicamycin C1"	
<http://purl.obolibrary.org/obo/CHEBI_23495>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyclopentanols"	
<http://purl.obolibrary.org/obo/CHEBI_16134>	<http://www.w3.org/2000/01/rdf-schema#label>	"ammonia"	
<http://purl.obolibrary.org/obo/CHEBI_52290>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitogen"	
<http://purl.obolibrary.org/obo/CHEBI_76668>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 2.7.* (P-containing group transferase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_65256>	<http://www.w3.org/2000/01/rdf-schema#label>	"antimicrobial food preservative"	
<http://purl.obolibrary.org/obo/CHEBI_35381>	<http://www.w3.org/2000/01/rdf-schema#label>	"monosaccharide"	
<http://purl.obolibrary.org/obo/CHEBI_50047>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic amino compound"	
<http://purl.obolibrary.org/obo/CHEBI_35701>	<http://www.w3.org/2000/01/rdf-schema#label>	"ester"	
<http://purl.obolibrary.org/obo/CHEBI_33635>	<http://www.w3.org/2000/01/rdf-schema#label>	"polycyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_27882>	<http://www.w3.org/2000/01/rdf-schema#label>	"(S)-colchicine"	
<http://purl.obolibrary.org/obo/CHEBI_33595>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_86993>	<http://www.w3.org/2000/01/rdf-schema#label>	"(R)-fluoxetine(1+)"	
<http://purl.obolibrary.org/obo/CHEBI_64915>	<http://www.w3.org/2000/01/rdf-schema#label>	"antiplasmodial drug"	
<http://purl.obolibrary.org/obo/CHEBI_35106>	<http://www.w3.org/2000/01/rdf-schema#label>	"nitrogen hydride"	
<http://purl.obolibrary.org/obo/CHEBI_13941>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbamate"	
<http://purl.obolibrary.org/obo/CHEBI_26932>	<http://www.w3.org/2000/01/rdf-schema#label>	"tetrapyrrole"	
<http://purl.obolibrary.org/obo/CHEBI_26650>	<http://www.w3.org/2000/01/rdf-schema#label>	"serine family amino acid"	
<http://purl.obolibrary.org/obo/CHEBI_35352>	<http://www.w3.org/2000/01/rdf-schema#label>	"organonitrogen compound"	
<http://purl.obolibrary.org/obo/CHEBI_33702>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyatomic cation"	
<http://purl.obolibrary.org/obo/CHEBI_6835>	<http://www.w3.org/2000/01/rdf-schema#label>	"methomyl"	
<http://purl.obolibrary.org/obo/CHEBI_30297>	<http://www.w3.org/2000/01/rdf-schema#label>	"antimonite"	
<http://purl.obolibrary.org/obo/CHEBI_71666>	<http://www.w3.org/2000/01/rdf-schema#label>	"gamma-amino acid anion"	
<http://purl.obolibrary.org/obo/CHEBI_26188>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyketide"	
<http://purl.obolibrary.org/obo/CHEBI_38534>	<http://www.w3.org/2000/01/rdf-schema#label>	"1-(methylsulfanyl)acetaldoxime"	
<http://purl.obolibrary.org/obo/CHEBI_63943>	<http://www.w3.org/2000/01/rdf-schema#label>	"22,23-dihydroavermectin B1b"	
<http://purl.obolibrary.org/obo/CHEBI_39213>	<http://www.w3.org/2000/01/rdf-schema#label>	"avermectin insecticide"	
<http://purl.obolibrary.org/obo/CHEBI_33402>	<http://www.w3.org/2000/01/rdf-schema#label>	"sulfur oxoacid"	
<http://purl.obolibrary.org/obo/CHEBI_33497>	<http://www.w3.org/2000/01/rdf-schema#label>	"transition element molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_63409>	<http://www.w3.org/2000/01/rdf-schema#label>	"pentose derivative"	
<http://purl.obolibrary.org/obo/CHEBI_39418>	<http://www.w3.org/2000/01/rdf-schema#label>	"straight-chain saturated fatty acid"	
<http://purl.obolibrary.org/obo/CHEBI_176497>	<http://www.w3.org/2000/01/rdf-schema#label>	"geroprotector"	
<http://purl.obolibrary.org/obo/CHEBI_18291>	<http://www.w3.org/2000/01/rdf-schema#label>	"manganese atom"	
<http://purl.obolibrary.org/obo/CHEBI_38627>	<http://www.w3.org/2000/01/rdf-schema#label>	"diazine"	
<http://purl.obolibrary.org/obo/CHEBI_17883>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydrogen chloride"	
<http://purl.obolibrary.org/obo/CHEBI_38870>	<http://www.w3.org/2000/01/rdf-schema#label>	"inhalation anaesthetic"	
<http://purl.obolibrary.org/obo/CHEBI_33281>	<http://www.w3.org/2000/01/rdf-schema#label>	"antimicrobial agent"	
<http://purl.obolibrary.org/obo/CHEBI_28659>	<http://www.w3.org/2000/01/rdf-schema#label>	"phosphorus atom"	
<http://purl.obolibrary.org/obo/CHEBI_35522>	<http://www.w3.org/2000/01/rdf-schema#label>	"beta-adrenergic agonist"	
<http://purl.obolibrary.org/obo/CHEBI_64577>	<http://www.w3.org/2000/01/rdf-schema#label>	"flour treatment agent"	
<http://purl.obolibrary.org/obo/CHEBI_33853>	<http://www.w3.org/2000/01/rdf-schema#label>	"phenols"	
<http://purl.obolibrary.org/obo/CHEBI_23004>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbamoyl group"	
<http://purl.obolibrary.org/obo/CHEBI_60832>	<http://www.w3.org/2000/01/rdf-schema#label>	"tubulin modulator"	
<http://purl.obolibrary.org/obo/CHEBI_51447>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic univalent group"	
<http://purl.obolibrary.org/obo/CHEBI_63332>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 3.1.3.1 (alkaline phosphatase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_39832>	<http://www.w3.org/2000/01/rdf-schema#label>	"methoxyethane"	
<http://purl.obolibrary.org/obo/CHEBI_38323>	<http://www.w3.org/2000/01/rdf-schema#label>	"cholinergic drug"	
<http://purl.obolibrary.org/obo/CHEBI_39220>	<http://www.w3.org/2000/01/rdf-schema#label>	"avermectin pesticide"	
<http://purl.obolibrary.org/obo/CHEBI_29537>	<http://www.w3.org/2000/01/rdf-schema#label>	"avermectin B1b"	
<http://purl.obolibrary.org/obo/CHEBI_7035>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscimol"	
<http://purl.obolibrary.org/obo/CHEBI_51374>	<http://www.w3.org/2000/01/rdf-schema#label>	"GABA agent"	
<http://purl.obolibrary.org/obo/CHEBI_33083>	<http://www.w3.org/2000/01/rdf-schema#label>	"fluoranthene"	
<http://purl.obolibrary.org/obo/CHEBI_35293>	<http://www.w3.org/2000/01/rdf-schema#label>	"fused compound"	
<http://purl.obolibrary.org/obo/CHEBI_16183>	<http://www.w3.org/2000/01/rdf-schema#label>	"methane"	
<http://purl.obolibrary.org/obo/CHEBI_38366>	<http://www.w3.org/2000/01/rdf-schema#label>	"trans-pent-2-enoic acid"	
<http://purl.obolibrary.org/obo/CHEBI_61115>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 3.5.1.98 (histone deacetylase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_35221>	<http://www.w3.org/2000/01/rdf-schema#label>	"antimetabolite"	
<http://purl.obolibrary.org/obo/CHEBI_63534>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoamine"	
<http://purl.obolibrary.org/obo/CHEBI_18723>	<http://www.w3.org/2000/01/rdf-schema#label>	"nicotine"	
<http://purl.obolibrary.org/obo/CHEBI_37577>	<http://www.w3.org/2000/01/rdf-schema#label>	"heteroatomic molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_74213>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 1.17.4.1 (ribonucleoside-diphosphate reductase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_4792>	<http://www.w3.org/2000/01/rdf-schema#label>	"enflurane"	
<http://purl.obolibrary.org/obo/CHEBI_37957>	<http://www.w3.org/2000/01/rdf-schema#label>	"histaminergic drug"	
<http://purl.obolibrary.org/obo/CHEBI_63161>	<http://www.w3.org/2000/01/rdf-schema#label>	"glycosyl compound"	
<http://purl.obolibrary.org/obo/CHEBI_37868>	<http://www.w3.org/2000/01/rdf-schema#label>	"octanol"	
<http://purl.obolibrary.org/obo/CHEBI_27594>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon atom"	
<http://purl.obolibrary.org/obo/CHEBI_37699>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein kinase inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_35498>	<http://www.w3.org/2000/01/rdf-schema#label>	"diuretic"	
<http://purl.obolibrary.org/obo/CHEBI_37527>	<http://www.w3.org/2000/01/rdf-schema#label>	"acid"	
<http://purl.obolibrary.org/obo/CHEBI_16385>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic sulfide"	
<http://purl.obolibrary.org/obo/CHEBI_32445>	<http://www.w3.org/2000/01/rdf-schema#label>	"L-cysteinium"	
<http://purl.obolibrary.org/obo/CHEBI_38337>	<http://www.w3.org/2000/01/rdf-schema#label>	"pyrimidone"	
<http://purl.obolibrary.org/obo/CHEBI_59769>	<http://www.w3.org/2000/01/rdf-schema#label>	"acetal"	
<http://purl.obolibrary.org/obo/CHEBI_33257>	<http://www.w3.org/2000/01/rdf-schema#label>	"secondary amide"	
<http://purl.obolibrary.org/obo/CHEBI_35618>	<http://www.w3.org/2000/01/rdf-schema#label>	"aromatic ether"	
<http://purl.obolibrary.org/obo/CHEBI_33366>	<http://www.w3.org/2000/01/rdf-schema#label>	"copper group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_25806>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxygen molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_22314>	<http://www.w3.org/2000/01/rdf-schema#label>	"alkali metal atom"	
<http://purl.obolibrary.org/obo/CHEBI_39162>	<http://www.w3.org/2000/01/rdf-schema#label>	"(R)-nicotine"	
<http://purl.obolibrary.org/obo/CHEBI_26561>	<http://www.w3.org/2000/01/rdf-schema#label>	"ribonucleotide"	
<http://purl.obolibrary.org/obo/CHEBI_50904>	<http://www.w3.org/2000/01/rdf-schema#label>	"allergen"	
<http://purl.obolibrary.org/obo/CHEBI_28024>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyanic acid"	
<http://purl.obolibrary.org/obo/CHEBI_33287>	<http://www.w3.org/2000/01/rdf-schema#label>	"fertilizer"	
<http://purl.obolibrary.org/obo/CHEBI_26214>	<http://www.w3.org/2000/01/rdf-schema#label>	"porphyrins"	
<http://purl.obolibrary.org/obo/CHEBI_23357>	<http://www.w3.org/2000/01/rdf-schema#label>	"cofactor"	
<http://purl.obolibrary.org/obo/CHEBI_82680>	<http://www.w3.org/2000/01/rdf-schema#label>	"monounsaturated fatty acid anion"	
<http://purl.obolibrary.org/obo/CHEBI_38329>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxazolidines"	
<http://purl.obolibrary.org/obo/CHEBI_25213>	<http://www.w3.org/2000/01/rdf-schema#label>	"metal cation"	
<http://purl.obolibrary.org/obo/CHEBI_64766>	<http://www.w3.org/2000/01/rdf-schema#label>	"cationic group"	
<http://purl.obolibrary.org/obo/CHEBI_46800>	<http://www.w3.org/2000/01/rdf-schema#label>	"ethanethioic O-acid"	
<http://purl.obolibrary.org/obo/CHEBI_50299>	<http://www.w3.org/2000/01/rdf-schema#label>	"canonical ribonucleotide residue"	
<http://purl.obolibrary.org/obo/CHEBI_33273>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyatomic anion"	
<http://purl.obolibrary.org/obo/CHEBI_8116>	<http://www.w3.org/2000/01/rdf-schema#label>	"phorbol"	
<http://purl.obolibrary.org/obo/CHEBI_23677>	<http://www.w3.org/2000/01/rdf-schema#label>	"diazole"	
<http://purl.obolibrary.org/obo/CHEBI_50127>	<http://www.w3.org/2000/01/rdf-schema#label>	"trifluoromethyl group"	
<http://purl.obolibrary.org/obo/CHEBI_51867>	<http://www.w3.org/2000/01/rdf-schema#label>	"methyl ketone"	
<http://purl.obolibrary.org/obo/CHEBI_36309>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyclic tetrapyrrole"	
<http://purl.obolibrary.org/obo/CHEBI_35470>	<http://www.w3.org/2000/01/rdf-schema#label>	"central nervous system drug"	
<http://purl.obolibrary.org/obo/CHEBI_29195>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyanate"	
<http://purl.obolibrary.org/obo/CHEBI_29108>	<http://www.w3.org/2000/01/rdf-schema#label>	"calcium(2+)"	
<http://purl.obolibrary.org/obo/CHEBI_76797>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 2.5.1.18 (glutathione transferase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_24533>	<http://www.w3.org/2000/01/rdf-schema#label>	"heterodetic cyclic peptide"	
<http://purl.obolibrary.org/obo/CHEBI_35155>	<http://www.w3.org/2000/01/rdf-schema#label>	"elemental calcium"	
<http://purl.obolibrary.org/obo/CHEBI_33860>	<http://www.w3.org/2000/01/rdf-schema#label>	"aromatic amine"	
<http://purl.obolibrary.org/obo/CHEBI_75771>	<http://www.w3.org/2000/01/rdf-schema#label>	"mouse metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_23924>	<http://www.w3.org/2000/01/rdf-schema#label>	"enzyme inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_24834>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic anion"	
<http://purl.obolibrary.org/obo/CHEBI_24860>	<http://www.w3.org/2000/01/rdf-schema#label>	"iodine molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_37045>	<http://www.w3.org/2000/01/rdf-schema#label>	"purine ribonucleoside 5'-triphosphate"	
<http://purl.obolibrary.org/obo/CHEBI_26714>	<http://www.w3.org/2000/01/rdf-schema#label>	"sodium salt"	
<http://purl.obolibrary.org/obo/CHEBI_48376>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbamimidic acid"	
<http://purl.obolibrary.org/obo/CHEBI_134249>	<http://www.w3.org/2000/01/rdf-schema#label>	"alkanesulfonate oxoanion"	
<http://purl.obolibrary.org/obo/CHEBI_17561>	<http://www.w3.org/2000/01/rdf-schema#label>	"L-cysteine"	
<http://purl.obolibrary.org/obo/CHEBI_50315>	<http://www.w3.org/2000/01/rdf-schema#label>	"chloronium"	
<http://purl.obolibrary.org/obo/CHEBI_30089>	<http://www.w3.org/2000/01/rdf-schema#label>	"acetate"	
<http://purl.obolibrary.org/obo/CHEBI_36848>	<http://www.w3.org/2000/01/rdf-schema#label>	"5-hydroxy steroid"	
<http://purl.obolibrary.org/obo/CHEBI_18140>	<http://www.w3.org/2000/01/rdf-schema#label>	"hydrogen halide"	
<http://purl.obolibrary.org/obo/CHEBI_24780>	<http://www.w3.org/2000/01/rdf-schema#label>	"imidazoles"	
<http://purl.obolibrary.org/obo/CHEBI_48544>	<http://www.w3.org/2000/01/rdf-schema#label>	"methanesulfonates"	
<http://purl.obolibrary.org/obo/CHEBI_47013>	<http://www.w3.org/2000/01/rdf-schema#label>	"D-ribofuranose"	
<http://purl.obolibrary.org/obo/CHEBI_85234>	<http://www.w3.org/2000/01/rdf-schema#label>	"human blood serum metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_25016>	<http://www.w3.org/2000/01/rdf-schema#label>	"lead atom"	
<http://purl.obolibrary.org/obo/CHEBI_25901>	<http://www.w3.org/2000/01/rdf-schema#label>	"pentose"	
<http://purl.obolibrary.org/obo/CHEBI_26878>	<http://www.w3.org/2000/01/rdf-schema#label>	"tertiary alcohol"	
<http://purl.obolibrary.org/obo/CHEBI_48578>	<http://www.w3.org/2000/01/rdf-schema#label>	"radical scavenger"	
<http://purl.obolibrary.org/obo/CHEBI_16526>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon dioxide"	
<http://purl.obolibrary.org/obo/CHEBI_35476>	<http://www.w3.org/2000/01/rdf-schema#label>	"antipsychotic agent"	
<http://purl.obolibrary.org/obo/CHEBI_64204>	<http://www.w3.org/2000/01/rdf-schema#label>	"methiothepin(2+)"	
<http://purl.obolibrary.org/obo/CHEBI_22928>	<http://www.w3.org/2000/01/rdf-schema#label>	"bromine molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_22563>	<http://www.w3.org/2000/01/rdf-schema#label>	"anion"	
<http://purl.obolibrary.org/obo/CHEBI_37955>	<http://www.w3.org/2000/01/rdf-schema#label>	"H1-receptor antagonist"	
<http://purl.obolibrary.org/obo/CHEBI_22712>	<http://www.w3.org/2000/01/rdf-schema#label>	"benzenes"	
<http://purl.obolibrary.org/obo/CHEBI_26607>	<http://www.w3.org/2000/01/rdf-schema#label>	"saturated fatty acid"	
<http://purl.obolibrary.org/obo/CHEBI_61692>	<http://www.w3.org/2000/01/rdf-schema#label>	"pyridoisoquinoline"	
<http://purl.obolibrary.org/obo/CHEBI_18243>	<http://www.w3.org/2000/01/rdf-schema#label>	"dopamine"	
<http://purl.obolibrary.org/obo/CHEBI_22633>	<http://www.w3.org/2000/01/rdf-schema#label>	"arsenite ion"	
<http://purl.obolibrary.org/obo/CHEBI_35605>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon oxoacid"	
<http://purl.obolibrary.org/obo/CHEBI_16042>	<http://www.w3.org/2000/01/rdf-schema#label>	"halide anion"	
<http://purl.obolibrary.org/obo/CHEBI_35681>	<http://www.w3.org/2000/01/rdf-schema#label>	"secondary alcohol"	
<http://purl.obolibrary.org/obo/CHEBI_26386>	<http://www.w3.org/2000/01/rdf-schema#label>	"purine nucleobase"	
<http://purl.obolibrary.org/obo/CHEBI_78616>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbohydrates and carbohydrate derivatives"	
<http://purl.obolibrary.org/obo/CHEBI_78840>	<http://www.w3.org/2000/01/rdf-schema#label>	"olefinic compound"	
<http://purl.obolibrary.org/obo/CHEBI_33695>	<http://www.w3.org/2000/01/rdf-schema#label>	"information biomacromolecule"	
<http://purl.obolibrary.org/obo/CHEBI_38032>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbotricyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_37739>	<http://www.w3.org/2000/01/rdf-schema#label>	"glycerophospholipid"	
<http://purl.obolibrary.org/obo/CHEBI_4290>	<http://www.w3.org/2000/01/rdf-schema#label>	"1,1-dimethyl-4-phenylpiperazinium iodide"	
<http://purl.obolibrary.org/obo/CHEBI_27376>	<http://www.w3.org/2000/01/rdf-schema#label>	"methanesulfonic acid"	
<http://purl.obolibrary.org/obo/CHEBI_16708>	<http://www.w3.org/2000/01/rdf-schema#label>	"adenine"	
<http://purl.obolibrary.org/obo/CHEBI_38825>	<http://www.w3.org/2000/01/rdf-schema#label>	"tetrafluoromethane"	
<http://purl.obolibrary.org/obo/CHEBI_33238>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic entity"	
<http://purl.obolibrary.org/obo/CHEBI_16701>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleoside 5'-phosphate"	
<http://purl.obolibrary.org/obo/CHEBI_33358>	<http://www.w3.org/2000/01/rdf-schema#label>	"cobalt group element atom"	
<http://purl.obolibrary.org/obo/CHEBI_26979>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic heterotricyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_24431>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical entity"	
<http://purl.obolibrary.org/obo/CHEBI_78298>	<http://www.w3.org/2000/01/rdf-schema#label>	"environmental contaminant"	
<http://purl.obolibrary.org/obo/CHEBI_47019>	<http://www.w3.org/2000/01/rdf-schema#label>	"dihydroxytetrahydrofuran"	
<http://purl.obolibrary.org/obo/CHEBI_136889>	<http://www.w3.org/2000/01/rdf-schema#label>	"5beta steroid"	
<http://purl.obolibrary.org/obo/CHEBI_47499>	<http://www.w3.org/2000/01/rdf-schema#label>	"imipramine"	
<http://purl.obolibrary.org/obo/CHEBI_26416>	<http://www.w3.org/2000/01/rdf-schema#label>	"pyridine alkaloid"	
<http://purl.obolibrary.org/obo/CHEBI_38077>	<http://www.w3.org/2000/01/rdf-schema#label>	"polypyrrole"	
<http://purl.obolibrary.org/obo/CHEBI_26393>	<http://www.w3.org/2000/01/rdf-schema#label>	"purine nucleoside triphosphate"	
